SaleID,Date,Region,ProductID,Amount
1,2024-01-30,North,100,452
2,2024-01-26,North,103,378
3,2024-01-24,North,103,
4,2024-01-10,North,110,384
5,2024-01-24,North,105,367
6,2024-01-20,North,109,272
7,2024-01-19,North,102,
8,2024-01-17,North,107,298
9,2024-01-08,North,108,456
10,2024-01-08,North,106,INVALID
11,2024-01-12,North,106,127
12,2024-01-18,North,104,154
13,2024-01-01,North,107,231
14,2024-01-09,North,102,INVALID
15,2024-01-20,North,107,
16,2024-01-29,North,103,487
17,2024-01-01,North,105,492
18,2024-01-17,North,106,226
19,2024-01-10,North,102,367
20,2024-01-01,North,104,264
21,2024-01-05,North,102,
22,2024-01-31,North,107,178
23,2024-01-23,North,102,371
24,2024-01-23,North,110,130
25,2024-01-02,North,110,441
26,2024-01-11,North,108,404
27,2024-01-03,North,106,111
28,2024-01-20,North,100,
29,2024-01-16,North,109,308
30,2024-01-30,North,105,472
31,2024-01-13,North,110,189
32,2024-01-06,North,105,384
33,2024-01-16,North,104,213
34,2024-01-27,North,107,
35,2024-01-06,North,110,252
36,2024-01-27,North,104,240
37,2024-01-25,North,110,371
38,2024-01-03,North,107,393
39,2024-01-22,North,101,274
40,2024-01-16,North,110,301
41,2024-01-25,North,103,453
42,2024-01-11,North,109,495
43,2024-01-05,North,102,
44,2024-01-23,North,109,237
45,2024-01-01,North,107,147
46,2024-01-23,North,101,226
47,2024-01-09,North,102,367
48,2024-01-27,North,102,242
49,2024-01-15,North,109,133
50,2024-01-05,North,103,436
