SaleID,Date,Region,ProductID,Amount
1,2024-01-12,West,101,323
2,2024-01-23,West,105,364
3,2024-01-27,West,102,488
4,2024-01-13,West,104,122
5,2024-01-20,West,105,221
6,2024-01-12,West,102,
7,2024-01-13,West,103,INVALID
8,2024-01-22,West,110,400
9,2024-01-05,West,101,489
10,2024-01-11,West,108,489
11,2024-01-20,West,100,435
12,2024-01-21,West,104,198
13,2024-01-08,West,109,171
14,2024-01-22,West,110,208
15,2024-01-08,West,103,391
16,2024-01-05,West,109,296
17,2024-01-08,West,104,331
18,2024-01-29,West,107,312
19,2024-01-15,West,101,185
20,2024-01-07,West,110,169
21,2024-01-29,West,110,417
22,2024-01-15,West,104,307
23,2024-01-05,West,110,308
24,2024-01-15,West,106,INVALID
25,2024-01-18,West,109,404
26,2024-01-15,West,107,104
27,2024-01-27,West,110,462
28,2024-01-21,West,108,154
29,2024-01-12,West,103,250
30,2024-01-09,West,107,339
31,2024-01-24,West,107,235
32,2024-01-28,West,107,
33,2024-01-20,West,102,216
34,2024-01-05,West,107,264
35,2024-01-09,West,107,136
36,2024-01-15,West,107,365
37,2024-01-23,West,100,196
38,2024-01-07,West,104,457
39,2024-01-24,West,108,240
40,2024-01-24,West,102,
41,2024-01-03,West,102,420
42,2024-01-18,West,101,324
43,2024-01-29,West,102,467
44,2024-01-21,West,102,388
45,2024-01-22,West,104,287
46,2024-01-16,West,108,133
47,2024-01-10,West,109,105
48,2024-01-29,West,107,368
49,2024-01-18,West,101,137
50,2024-01-12,West,107,235
